keyword,skor
administrasi,0.111
akselerasi,0.751
bencana,0.971
dukungan,0.252
darurat,0.95
kebutuhan_umum,0.113
kerusakan,0.817
krisis,0.963
kritikal,0.945
mendesak,0.931
operasional,0.306
pembangunan,0.56
pemeliharaan,0.434
pembelian,0.245
pengadaan,0.36
pengembangan,0.582
pengelolaan,0.354
penggantian,0.716
penggantian_berkala,0.162
peningkatan,0.528
penunjang,0.257
perawatan,0.424
perbaikan,0.548
prioritas,0.732
restorasi,0.728
rehabilitasi,0.56
rutin,0.103
segera,0.956
tahunan,0.05
tanggap,0.956
vip,0.01
vital,0.916
wabah,0.97
medis,0.925
epidemi,0.965
pandemi,0.975
evakuasi,0.958
ambulan,0.880
penyelamatan,0.940
logistik_bencana,0.960
sembako_bantuan,0.910
pemadaman,0.890
kebakaran,0.935
sar,0.912
rekonstruksi,0.740
renovasi,0.480
pembongkaran,0.410
pemasangan,0.380
instalasi,0.450
digitalisasi,0.590
modernisasi,0.610
restrukturisasi,0.670
optimalisasi,0.520
relokasi,0.630
konsolidasian,0.320
audit,0.280
inspeksi,0.390
monitoring,0.290
evaluasi_kinerja,0.210
survei,0.180
sensus,0.150
pemetaan,0.340
inventarisasi,0.190
kajian,0.270
perencanaan,0.330
perancangan,0.350
arsip,0.090
dokumentasi,0.105
pelaporan,0.115
sekretariat,0.085
kepegawaian,0.080
atkr,0.060
konsumsi,0.120
snack,0.055
akomodasi,0.230
perjalanan_dinas,0.220
sewa_kendaraan,0.260
langganan,0.140
lisensi,0.310
cloud,0.415
hosting,0.335
maintenance,0.440
antivirus,0.680
firewall,0.760
keamanan_cyber,0.895
back_up,0.820
recovery,0.860
gawat,0.948
insidentil,0.710
kontingensi,0.885
mitigasi,0.640
siaga,0.830
waspada,0.720
antisipasi,0.510
pemberantasan,0.790
karantina,0.915
sterilisasi,0.780
sanitasi,0.620
kebersihan,0.200
keamanan_fisik,0.490
pengawalan,0.530
protokoler,0.170
penyediaan,0.315
distribusi,0.370
suplai,0.365
penyaluran,0.425
hibah,0.295
bantuan_sosial,0.810
beasiswa,0.460
pelatihan,0.250
workshop,0.130
seminar,0.095
sosialisasi,0.165
diseminasi,0.185
publikasi,0.145
promosi,0.110
pameran,0.075
sayembara,0.205
insentif,0.325
honorarium,0.040
upah,0.155
retribusi,0.070
pajak,0.135
asuransi,0.505
